IP,Latitude,Longitude,Location,Domain,Type
13.107.42.14,37.751,-97.822,"37.751,-97.822",Unknown,Source
192.168.0.104,Private IP,Private IP,Private,Unknown,Destination
192.168.0.104,Private IP,Private IP,Private,Unknown,Source
13.107.42.14,37.751,-97.822,"37.751,-97.822",Unknown,Destination
192.168.0.104,Private IP,Private IP,Private,Unknown,Source
13.107.42.14,37.751,-97.822,"37.751,-97.822",Unknown,Destination
13.107.42.14,37.751,-97.822,"37.751,-97.822",Unknown,Source
192.168.0.104,Private IP,Private IP,Private,Unknown,Destination
13.107.42.14,37.751,-97.822,"37.751,-97.822",Unknown,Source
192.168.0.104,Private IP,Private IP,Private,Unknown,Destination
192.168.0.104,Private IP,Private IP,Private,Unknown,Source
23.206.173.48,19.0748,72.8856,"19.0748,72.8856",a23-206-173-48.deploy.static.akamaitechnologies.com,Destination
192.168.0.104,Private IP,Private IP,Private,Unknown,Source
23.206.173.48,19.0748,72.8856,"19.0748,72.8856",a23-206-173-48.deploy.static.akamaitechnologies.com,Destination
192.168.0.104,Private IP,Private IP,Private,Unknown,Source
23.206.173.48,19.0748,72.8856,"19.0748,72.8856",a23-206-173-48.deploy.static.akamaitechnologies.com,Destination
192.168.0.104,Private IP,Private IP,Private,Unknown,Source
23.206.173.48,19.0748,72.8856,"19.0748,72.8856",a23-206-173-48.deploy.static.akamaitechnologies.com,Destination
192.168.0.104,Private IP,Private IP,Private,Unknown,Source
23.206.173.48,19.0748,72.8856,"19.0748,72.8856",a23-206-173-48.deploy.static.akamaitechnologies.com,Destination
192.168.0.104,Private IP,Private IP,Private,Unknown,Source
23.206.173.48,19.0748,72.8856,"19.0748,72.8856",a23-206-173-48.deploy.static.akamaitechnologies.com,Destination
192.168.0.104,Private IP,Private IP,Private,Unknown,Source
23.206.173.48,19.0748,72.8856,"19.0748,72.8856",a23-206-173-48.deploy.static.akamaitechnologies.com,Destination
23.206.173.48,19.0748,72.8856,"19.0748,72.8856",a23-206-173-48.deploy.static.akamaitechnologies.com,Source
192.168.0.104,Private IP,Private IP,Private,Unknown,Destination
23.206.173.48,19.0748,72.8856,"19.0748,72.8856",a23-206-173-48.deploy.static.akamaitechnologies.com,Source
192.168.0.104,Private IP,Private IP,Private,Unknown,Destination
192.168.0.104,Private IP,Private IP,Private,Unknown,Source
142.250.66.3,37.751,-97.822,"37.751,-97.822",bom07s35-in-f3.1e100.net,Destination
142.250.66.3,37.751,-97.822,"37.751,-97.822",bom07s35-in-f3.1e100.net,Source
192.168.0.104,Private IP,Private IP,Private,Unknown,Destination
23.206.173.48,19.0748,72.8856,"19.0748,72.8856",a23-206-173-48.deploy.static.akamaitechnologies.com,Source
192.168.0.104,Private IP,Private IP,Private,Unknown,Destination
23.206.173.48,19.0748,72.8856,"19.0748,72.8856",a23-206-173-48.deploy.static.akamaitechnologies.com,Source
192.168.0.104,Private IP,Private IP,Private,Unknown,Destination
192.168.0.104,Private IP,Private IP,Private,Unknown,Source
23.206.173.48,19.0748,72.8856,"19.0748,72.8856",a23-206-173-48.deploy.static.akamaitechnologies.com,Destination
23.206.173.48,19.0748,72.8856,"19.0748,72.8856",a23-206-173-48.deploy.static.akamaitechnologies.com,Source
192.168.0.104,Private IP,Private IP,Private,Unknown,Destination
192.168.0.104,Private IP,Private IP,Private,Unknown,Source
23.206.173.48,19.0748,72.8856,"19.0748,72.8856",a23-206-173-48.deploy.static.akamaitechnologies.com,Destination
192.168.0.107,Private IP,Private IP,Private,Unknown,Source
192.168.0.255,Private IP,Private IP,Private,Unknown,Destination
192.168.0.104,Private IP,Private IP,Private,Unknown,Source
163.70.143.61,19.0748,72.8856,"19.0748,72.8856",whatsapp-chatd-edge-shv-01-bom2.facebook.com,Destination
163.70.143.61,19.0748,72.8856,"19.0748,72.8856",whatsapp-chatd-edge-shv-01-bom2.facebook.com,Source
192.168.0.104,Private IP,Private IP,Private,Unknown,Destination
163.70.143.61,19.0748,72.8856,"19.0748,72.8856",whatsapp-chatd-edge-shv-01-bom2.facebook.com,Source
192.168.0.104,Private IP,Private IP,Private,Unknown,Destination
192.168.0.104,Private IP,Private IP,Private,Unknown,Source
163.70.143.61,19.0748,72.8856,"19.0748,72.8856",whatsapp-chatd-edge-shv-01-bom2.facebook.com,Destination
