IP,Location,Domain,Type
13.107.42.14,Private IP,Unknown,Source
192.168.0.104,Private IP,Unknown,Destination
192.168.0.104,Private IP,Unknown,Source
13.107.42.14,Private IP,Unknown,Destination
192.168.0.104,Private IP,Unknown,Source
13.107.42.14,Private IP,Unknown,Destination
13.107.42.14,Private IP,Unknown,Source
192.168.0.104,Private IP,Unknown,Destination
13.107.42.14,Private IP,Unknown,Source
192.168.0.104,Private IP,Unknown,Destination
192.168.0.104,Private IP,Unknown,Source
23.206.173.48,Mumbai,a23-206-173-48.deploy.static.akamaitechnologies.com,Destination
192.168.0.104,Private IP,Unknown,Source
23.206.173.48,Mumbai,a23-206-173-48.deploy.static.akamaitechnologies.com,Destination
192.168.0.104,Private IP,Unknown,Source
23.206.173.48,Mumbai,a23-206-173-48.deploy.static.akamaitechnologies.com,Destination
192.168.0.104,Private IP,Unknown,Source
23.206.173.48,Mumbai,a23-206-173-48.deploy.static.akamaitechnologies.com,Destination
192.168.0.104,Private IP,Unknown,Source
23.206.173.48,Mumbai,a23-206-173-48.deploy.static.akamaitechnologies.com,Destination
192.168.0.104,Private IP,Unknown,Source
23.206.173.48,Mumbai,a23-206-173-48.deploy.static.akamaitechnologies.com,Destination
192.168.0.104,Private IP,Unknown,Source
23.206.173.48,Mumbai,a23-206-173-48.deploy.static.akamaitechnologies.com,Destination
23.206.173.48,Mumbai,a23-206-173-48.deploy.static.akamaitechnologies.com,Source
192.168.0.104,Private IP,Unknown,Destination
23.206.173.48,Mumbai,a23-206-173-48.deploy.static.akamaitechnologies.com,Source
192.168.0.104,Private IP,Unknown,Destination
192.168.0.104,Private IP,Unknown,Source
142.250.66.3,Private IP,bom07s35-in-f3.1e100.net,Destination
142.250.66.3,Private IP,bom07s35-in-f3.1e100.net,Source
192.168.0.104,Private IP,Unknown,Destination
23.206.173.48,Mumbai,a23-206-173-48.deploy.static.akamaitechnologies.com,Source
192.168.0.104,Private IP,Unknown,Destination
23.206.173.48,Mumbai,a23-206-173-48.deploy.static.akamaitechnologies.com,Source
192.168.0.104,Private IP,Unknown,Destination
192.168.0.104,Private IP,Unknown,Source
23.206.173.48,Mumbai,a23-206-173-48.deploy.static.akamaitechnologies.com,Destination
23.206.173.48,Mumbai,a23-206-173-48.deploy.static.akamaitechnologies.com,Source
192.168.0.104,Private IP,Unknown,Destination
192.168.0.104,Private IP,Unknown,Source
23.206.173.48,Mumbai,a23-206-173-48.deploy.static.akamaitechnologies.com,Destination
192.168.0.107,Private IP,Unknown,Source
192.168.0.255,Private IP,Unknown,Destination
192.168.0.104,Private IP,Unknown,Source
163.70.143.61,Mumbai,whatsapp-chatd-edge-shv-01-bom2.facebook.com,Destination
163.70.143.61,Mumbai,whatsapp-chatd-edge-shv-01-bom2.facebook.com,Source
192.168.0.104,Private IP,Unknown,Destination
163.70.143.61,Mumbai,whatsapp-chatd-edge-shv-01-bom2.facebook.com,Source
192.168.0.104,Private IP,Unknown,Destination
192.168.0.104,Private IP,Unknown,Source
163.70.143.61,Mumbai,whatsapp-chatd-edge-shv-01-bom2.facebook.com,Destination
